metric,slither_slope,mythril_minus_slither,p_interaction
NOA,-0.18726906618721584,0.3840356936988241,0.005919487452596516
DIT,-0.03405762730666454,0.30901251145989417,0.02945167497026798
NA,0.15510968060450508,-0.1596080094896598,0.25325944212739593
NOD,0.1311203296663495,0.14698233254866916,0.29061002322092144
NOI,0.20380603488950955,-0.13722897692014868,0.34020130076135635
AvgNOS,-0.07607683738300554,-0.11835669306346121,0.3956970997344694
AvgNOI,0.010454108901511083,-0.0816636157180792,0.5130297859171329
SLOC,0.14642276326000217,-0.07996876348486275,0.5888818886296043
CLOC,0.0775437615945766,-0.05952197017740737,0.6676023727272316
NL,0.1452460065653993,-0.051389667822123,0.6795053389911996
NUMPAR,0.1637530603682082,-0.046071487822258984,0.7210728982520355
AvgNUMPAR,-0.0004011857391515414,-0.0328633770206117,0.7634342595055068
CBO,0.24670581605653769,-0.021066411605587892,0.8606783427546818
AvgMcCC,0.07676405237940592,-0.005206553002546968,0.9642515641338282
